title;rating;duration;startTime
Trelew;8.0;98;717
Golem;4.7;104;201
Balla che ti passa;7.7;92;1064
Arn: The Knight Templar;6.6;139;412
Tell Me No Lies;2.9;91;23
Manual;6.9;80;1039
Day of Defense;5.7;102;937
Taekwondo;7.4;102;331
Hercules Ventures Into the World;8.0;50;313
Through the Footsteps of a Madman;5.6;77;211
Mongolpiparen;3.2;88;625
Cold Feet;5.3;78;813
Life, Translated;3.7;100;58
Gangster;5.7;90;1015
Black Cat in Jail;4.0;88;551
Black;6.4;130;425
Hannah and Her Brothers;5.5;77;1286
Friendship Hotel;7.4;95;1294
Dreams for Life;8.1;75;749
Snakewoman;3.1;98;671
Fare la vita;6.1;100;42
Plaguers;2.7;86;1052
The Mercy Man;7.2;91;1046
A Winter in Paris;5.7;95;861
Nada sÃ´ sÃ´;6.7;118;870
Silly's Sweet Summer;6.8;90;737
The Lark Farm;6.6;122;931
Sam tiu;3.3;90;312
The Legend of 7 Cutter;6.2;100;331
Gone;5.4;88;679
Sound of the Sea;6.0;95;883
Angel-A;7.1;91;1103
Great Idea;5.0;90;153
16-dec;6.9;158;341
A Good Band Is Easy to Kill;8.7;89;1231
Angels of the Universe;7.5;100;233
Heavy Petting;4.5;94;668
Adieu;7.1;124;1102
Daylight Robbery;6.0;99;871
The Passage;8.2;108;191
Vampire Junction;2.6;94;1088
Two Angels;6.0;80;342
Mensch Mutter;6.9;90;21
Preserve Me a Seat;9.2;104;192
Stolen Summer;6.5;91;179
Savage Souls;6.9;120;933
Eye in the Sky;6.7;90;94
Big Bad Wolf;5.3;95;22
Just Sex;7.2;73;1259
Villain;7.1;162;658
Blackout Journey;4.6;90;327
Impy's Island;5.0;87;448
Hot Fuzz;7.8;121;1283
Hubert Selby Jr: It/ll Be Better Tomorrow;7.4;79;1041
You Shoot, I Shoot;7.4;94;1175
Australia;6.6;165;871
Tito;7.1;120;221
A Sunday in Kigali;7.2;118;794
Bloodshed;3.2;82;935
Huddersfield;8.3;95;265
The Hitcher;5.6;84;541
Shallow Ground;4.9;97;343
Be - Skitne, syndige meg;6.5;50;1196
Ken Park;5.9;93;765
Night Watch;6.4;114;116
Complexx;3.7;78;1088
P.S. Your Cat Is Dead!;5.4;92;701
Ten;7.4;89;1300
Os Imortais;7.3;130;253
Martha's New Coat;6.8;52;1377
Mask de 41;6.1;113;892
Frog-g-g!;4.3;80;789
Summer Nuts;7.2;90;181
The Robbery of the Third Reich;6.5;105;823
Jungle Rudy;6.4;90;538
The Keeper: The Legend of Omar Khayyam;6.4;95;1103
Retiring Tatiana;7.3;108;30
Powiedz to, Gabi;5.7;82;793
Dans tes rÃªves;4.3;102;312
O Brother, Where Art Thou?;7.7;107;869
Larceny;4.4;101;301
The Football Factory;6.8;91;609
Identity Kills;5.0;81;1071
Layover;4.7;95;1060
Divide;2.6;60;1261
Twisted;5.8;93;794
Elipsis;6.4;90;1268
Undead;5.4;104;1050
Saseul;5.1;93;551
Dr. Bronner's Magic Soapbox;6.5;88;175
Vox Populi;6.7;100;895
Residencia;5.5;92;1324
Ooops, teka lang... Diskarte ko 'to!;8.5;110;83
Everything Together;4.9;65;1100
UFO Doggies;7.0;55;87
Dog Soldiers;6.8;105;280
All the Days Before Tomorrow;6.1;100;71
Reaction;8.1;77;185
Little Big Top;6.2;83;548
Nailed;4.1;90;354
Iberia;7.0;99;723
Bubbles;8.6;80;973
Late un corazÃ³n;4.6;72;683
Roadblocks;7.3;101;725
Pas assez de volume! - Notes sur l'OMC;8.2;140;1096
2009: Lost Memories;6.1;136;11
Otra vuelta;7.3;80;1081
Aftermath;4.9;83;586
Neowolf;2.1;88;894
Season of the Horse;7.3;105;136
Lagerfeld Confidential;6.7;89;1017
Weenie Roast Massacre;4.7;87;428
Das siebte Foto;6.6;95;1115
Indian Fish in American Waters;5.4;94;783
A Handful of Grass;6.5;100;486
A Perfect Match;6.4;107;1107
The Debut;6.5;94;912
Wesley Cash;7.3;73;1151
Life Hits;6.3;93;247
Maybe Baby;5.7;104;1311
Damen tango;6.2;95;918
Love Rome;5.5;80;1184
Leyla Zana, le cri au-delÃ  de la voix Ã©touffÃ©e;4.3;51;956
Scream 3;5.6;116;649
Screen Tests of the Stars;9.1;60;603
Surviving the Rush;5.1;80;1350
Palabras encadenadas;7.1;89;493
Joyful Partaking;7.2;120;1067
The Incredible Burt Wonderstone;5.9;100;773
The Real Cancun;2.8;96;818
The Book of Caleb;6.9;106;947
The Tree That Remembers;8.5;50;1324
Possession;5.5;90;106
The Marc Pease Experience;4.0;84;1027
Oollala Sisters;4.8;110;346
The Windy City Incident;2.4;71;1323
O;6.1;95;1272
Standalone;7.2;108;955
Muxes: AutÃ©nticas, intrÃ©pidas y buscadoras de peligro;7.5;105;126
Bolivar Is Me;6.3;93;488
State of Denial;8.2;86;457
Tell Me Do You Miss Me;7.9;102;111
My Captain Mr. Underground;6.0;104;508
The Delicate Art of Parking;6.4;90;888
Home;7.9;85;906
Ameriga;7.0;55;315
Wreckage;4.2;87;458
Naam Gum Jaayega;5.9;125;1012
Kings;6.9;88;44
The Ghouls;3.8;81;1180
For Your Consideration;6.3;86;153
Gambit;8.0;107;270
Shootout;5.9;90;366
Tomorrow La Scala!;6.8;108;327
Princess in an Iron Helmet;6.3;103;591
Equilibrium;7.4;107;894
Operation Balikatan;3.5;88;381
Escalator Down;6.5;70;1361
Fated;6.2;90;1346
Polynesian Power;8.2;60;1253
Wieners;4.3;89;680
Lightning Bug;6.5;97;120
Sacred Heart;6.4;120;1093
Taxi to the Dark Side;7.4;106;964
Verschwinden;6.7;75;771
For the Bible Tells Me So;7.8;95;1068
Someone Like You;6.1;97;1113
Blues Divas;7.2;116;914
Time Changer;5.2;95;561
To Paint or Make Love;6.1;100;1191
Deanimated;7.5;60;582
Gray Matters;5.8;96;622
The Princess and the Frog;7.1;97;166
Mr. Woodcock;5.1;87;1249
Andre omgang;5.0;84;1276
RinaldÃ³;5.1;83;987
Sucker Punch;5.0;92;460
Neverland;4.9;83;763
Borrowed Time;4.8;62;771
Do Outro Lado do Mundo;6.3;90;581
Lunar Girl;7.0;85;1097
A Woman and a Half: Hildegard Knef;8.1;90;288
Troublesome Night 17;4.3;90;421
She Got Game;7.5;78;356
Hitters Anonymous;6.8;92;468
Deeper Than Y;8.5;60;11
The Moon Also Rises;7.0;105;1330
A West Lake Moment;5.8;112;828
Pornodrome: Una storia dal vivo;6.5;86;232
The Stepford Wives;5.3;93;28
No Good Deed;5.5;97;26
Dry Wood Fierce Fire;5.8;97;283
Shadow Magic;6.8;116;405
Big Time;7.2;92;1068
Waiting for the Giants;5.1;88;104
The Boys & Girl from County Clare;6.5;90;941
Ma saison super 8;5.2;74;280
The Very Poor, Inc.;4.9;90;471
On the Edge: The Femicide in Ciudad Juarez;6.8;58;607
Trixie;5.1;116;1061
Der Traum vom Schweben;8.0;90;352
Who Killed Cock Robin?;5.2;88;265
Fernanda Pivano: A Farewell to Beat;6.8;70;131
Home Invaders;5.6;100;51
Kaun Hai Jo Sapno Mein Aaya;5.1;127;443
Mokus;5.3;110;756
Deceitfully Funny;7.4;85;644
The Sleeping Wife;6.9;83;144
Shakespeare's Merchant;4.4;86;1110
Intervention;4.8;93;369
